,Gender,ConvertedSalary,AnosProgramando
2989,1,51403.0,10
6023,1,7500.0,1
2889,1,26436.0,4
3201,0,51403.0,13
3092,1,65000.0,7
4325,1,45000.0,1
3264,0,780000.0,7
7557,0,75000.0,7
3961,1,110000.0,1
2387,1,22032.0,4
5399,0,150000.0,25
4754,1,55075.0,13
6231,1,10000.0,1
3496,1,14700.0,1
2638,0,122388.0,13
6594,1,6840.0,4
5589,0,17220.0,10
1983,1,155000.0,7
5429,1,90000.0,16
939,1,70000.0,7
5409,1,75000.0,4
8434,0,58752.0,16
829,1,62507.0,4
5483,1,125014.0,10
9089,1,42028.0,4
9457,1,55000.0,4
7976,0,18720.0,7
8143,0,23820.0,7
9175,0,39164.0,7
9994,0,1000000.0,10
4327,1,12524.0,4
767,0,1000000.0,16
6849,1,79552.0,10
7104,1,636000.0,1
2014,0,767748.0,7
7841,0,13152.0,10
3796,1,64380.0,7
9905,1,130000.0,19
2174,1,10000.0,4
4356,1,0.0,1
2851,1,49932.0,13
518,1,50.0,1
8277,1,22032.0,7
2130,0,68537.0,13
8898,0,112000.0,19
7838,0,23820.0,4
2208,1,64417.0,4
4708,0,33984.0,1
3478,1,13332.0,7
766,0,100000.0,13
431,0,31788.0,4
1150,0,15654.0,4
7470,1,8400.0,1
7671,1,120000.0,33
1938,1,82500.0,4
8121,0,134000.0,7
824,1,32000.0,1
9997,1,50005.0,4
1352,1,104280.0,16
3902,1,70985.0,13
3486,1,33000.0,4
9881,1,22032.0,1
432,1,39750.0,4
4859,1,120000.0,7
6494,0,12000.0,4
1322,1,48000.0,7
4288,1,150000.0,13
5087,0,93842.0,10
7761,0,3757.0,1
5373,0,137000.0,19
3901,0,40000.0,1
8380,0,11988.0,4
8120,0,1128.0,4
1549,0,30559.0,10
5566,0,36720.0,25
5969,0,90000.0,25
9447,0,35000.0,1
4529,0,150000.0,7
6194,1,112000.0,4
792,0,90039.0,16
5709,1,68000.0,4
4346,1,50005.0,10
5417,0,73433.0,19
6067,1,92340.0,13
8699,0,79552.0,33
9166,1,16800.0,7
671,1,115409.0,7
8612,0,73433.0,10
8152,0,36084.0,13
7096,1,140000.0,10
5434,1,31821.0,10
516,1,160000.0,4
131,0,95844.0,25
3403,1,81000.0,4
7266,1,14652.0,4
4092,0,22404.0,1
3226,0,76495.0,13
2994,0,14976.0,7
6154,1,42000.0,4
8045,0,175000.0,19
4589,1,45996.0,28
3391,1,135000.0,16
3374,1,55000.0,1
9965,1,100000.0,4
3349,1,13800.0,4
7180,0,86544.0,16
4471,1,4332.0,1
1219,0,44287.0,7
8897,0,50000.0,10
9176,1,25008.0,1
1491,1,82836.0,10
1304,1,70000.0,1
9414,0,80000.0,7
559,1,616644.0,16
3200,0,18780.0,4
8724,1,30180.0,7
7415,0,440592.0,10
7677,0,590000.0,25
8252,0,201303.0,13
1295,0,72591.0,10
1250,0,7827.0,7
7197,0,60000.0,1
6906,1,62000.0,4
424,0,39164.0,7
6326,0,71000.0,7
5818,1,2664.0,1
2503,1,11040.0,4
3957,1,7483.0,4
8530,0,120000.0,25
5016,1,38400.0,7
2637,1,60060.0,4
2326,1,80521.0,10
69,0,67313.0,4
6894,1,48955.0,4
7226,0,90000.0,4
5262,1,130000.0,13
4135,1,169068.0,4
2448,1,90000.0,4
2166,0,3540.0,7
657,0,110149.0,25
1925,1,4512.0,10
3705,1,32316.0,4
2264,0,44060.0,13
9252,0,73428.0,4
6263,1,6660.0,4
6580,0,40282.0,10
9727,0,24192.0,7
9323,1,115000.0,22
7563,0,37506.0,10
7509,0,74657.0,19
4376,0,49152.0,7
5963,0,175000.0,19
9236,1,27900.0,4
